timestamp,open,high,low,close,volume
2024-01-02 09:15:00,21450.50,21475.25,21440.00,21460.75,1250000
2024-01-02 09:16:00,21461.00,21485.50,21455.25,21470.00,1180000
2024-01-02 09:17:00,21470.25,21490.00,21465.50,21480.25,1320000
2024-01-02 09:18:00,21480.50,21495.75,21475.00,21488.50,1410000
2024-01-02 09:19:00,21489.00,21510.25,21485.50,21505.75,1520000
2024-01-02 09:20:00,21506.00,21525.50,21500.25,21518.00,1630000
2024-01-02 09:21:00,21518.25,21535.00,21512.50,21528.75,1450000
2024-01-02 09:22:00,21529.00,21545.25,21520.00,21538.50,1380000
2024-01-02 09:23:00,21538.75,21555.50,21532.25,21548.00,1290000
2024-01-02 09:24:00,21548.25,21565.00,21540.50,21558.75,1350000
2024-01-02 09:25:00,21559.00,21575.25,21550.00,21568.50,1420000
2024-01-02 09:26:00,21568.75,21580.50,21560.25,21572.00,1280000
2024-01-02 09:27:00,21572.25,21585.75,21565.00,21578.50,1310000
2024-01-02 09:28:00,21578.75,21590.25,21570.50,21582.00,1240000
2024-01-02 09:29:00,21582.25,21595.50,21575.00,21588.75,1380000
2024-01-02 09:30:00,21589.00,21600.25,21580.50,21592.50,1450000
2024-01-02 09:31:00,21592.75,21605.00,21585.25,21598.00,1320000
2024-01-02 09:32:00,21598.25,21610.50,21590.00,21602.75,1290000
2024-01-02 09:33:00,21603.00,21615.25,21595.50,21608.00,1350000
2024-01-02 09:34:00,21608.25,21620.00,21600.75,21612.50,1280000
2024-01-02 09:35:00,21612.75,21625.50,21605.00,21618.25,1410000
2024-01-02 09:36:00,21618.50,21630.25,21610.75,21622.00,1340000
2024-01-02 09:37:00,21622.25,21635.00,21615.50,21628.75,1380000
2024-01-02 09:38:00,21629.00,21640.75,21620.25,21632.50,1420000
2024-01-02 09:39:00,21632.75,21645.50,21625.00,21638.00,1360000
2024-01-02 09:40:00,21638.25,21650.00,21630.50,21642.75,1450000
2024-01-02 09:41:00,21643.00,21655.25,21635.75,21648.50,1390000
2024-01-02 09:42:00,21648.75,21660.50,21640.00,21652.25,1320000
2024-01-02 09:43:00,21652.50,21665.00,21645.25,21658.00,1480000
2024-01-02 09:44:00,21658.25,21670.75,21650.50,21662.50,1410000
2024-01-02 09:45:00,21662.75,21640.25,21625.50,21632.00,1550000
2024-01-02 09:46:00,21632.25,21645.00,21620.75,21628.50,1480000
2024-01-02 09:47:00,21628.75,21640.50,21615.25,21622.00,1520000
2024-01-02 09:48:00,21622.25,21635.75,21610.00,21618.75,1590000
2024-01-02 09:49:00,21619.00,21630.25,21605.50,21615.00,1620000
2024-01-02 09:50:00,21615.25,21625.50,21600.75,21610.25,1580000
2024-01-02 09:51:00,21610.50,21620.00,21595.25,21605.50,1640000
2024-01-02 09:52:00,21605.75,21615.75,21590.00,21600.00,1680000
2024-01-02 09:53:00,21600.25,21610.50,21585.75,21595.25,1720000
2024-01-02 09:54:00,21595.50,21605.25,21580.00,21590.50,1760000
2024-01-02 09:55:00,21590.75,21600.00,21575.25,21585.75,1800000
2024-01-02 09:56:00,21586.00,21620.50,21610.00,21615.25,1650000
2024-01-02 09:57:00,21615.50,21630.75,21620.25,21625.00,1580000
2024-01-02 09:58:00,21625.25,21640.00,21630.50,21635.75,1520000
2024-01-02 09:59:00,21636.00,21650.25,21640.75,21645.50,1480000
2024-01-02 10:00:00,21645.75,21660.50,21650.00,21655.25,1540000
2024-01-02 10:01:00,21655.50,21670.00,21660.25,21665.75,1500000
2024-01-02 10:02:00,21666.00,21680.75,21670.50,21675.00,1460000
2024-01-02 10:03:00,21675.25,21690.25,21680.00,21685.50,1520000
2024-01-02 10:04:00,21685.75,21700.50,21690.25,21695.00,1480000
2024-01-02 15:25:00,21688.50,21700.25,21680.00,21692.75,1320000
2024-01-02 15:26:00,21693.00,21705.50,21685.25,21698.00,1280000
2024-01-02 15:27:00,21698.25,21710.00,21690.50,21702.75,1350000
2024-01-02 15:28:00,21703.00,21715.75,21695.00,21708.50,1420000
2024-01-02 15:29:00,21708.75,21720.25,21700.50,21712.00,1580000
2024-01-03 09:15:00,21712.25,21725.50,21705.75,21718.00,1620000
2024-01-03 09:16:00,21718.25,21730.00,21710.50,21722.75,1480000
2024-01-03 09:17:00,21723.00,21735.75,21715.25,21728.50,1520000
2024-01-03 09:18:00,21728.75,21740.25,21720.00,21732.00,1460000
2024-01-03 09:19:00,21732.25,21745.50,21725.75,21738.00,1580000
2024-01-03 09:20:00,21738.25,21750.00,21730.50,21742.75,1640000
2024-01-03 09:21:00,21743.00,21755.75,21735.25,21748.50,1520000
2024-01-03 09:22:00,21748.75,21760.25,21740.00,21752.00,1480000
2024-01-03 09:23:00,21752.25,21765.50,21745.75,21758.00,1550000
2024-01-03 09:24:00,21758.25,21770.00,21750.50,21762.75,1620000
2024-01-03 09:25:00,21763.00,21775.75,21755.25,21768.50,1680000
2024-01-03 09:26:00,21768.75,21780.25,21760.00,21772.00,1540000
2024-01-03 09:27:00,21772.25,21785.50,21765.75,21778.00,1580000
2024-01-03 09:28:00,21778.25,21790.00,21770.50,21782.75,1520000
